kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra_str,dec_str,koi_kepmag,koi_kepmag_err
5098334,K08253.01,,CANDIDATE,CANDIDATE,0.067,0,0,0,0,400.11482,0.04988,-0.04988,316.2642,0.0343,-0.0343,0.066,0.531,-0.066,12.37,3.4,-3.4,113.4,75.0,-75.0,0.95,0.13,-0.04,226.0,,,0.62,0.22,-0.08,6.7,1.0,q1_q17_dr25_tce,5547.0,74.0,-83.0,4.521,0.019,-0.11,0.911,0.12,-0.038,19h26m07.08s,+40d15m10.5s,13.521,
9210820,K07930.01,,CANDIDATE,CANDIDATE,0.469,0,0,0,0,377.67241,0.01947,-0.01947,221.098,0.0374,-0.0374,0.107,0.341,-0.107,15.82,1.4,-1.4,514.8,59.3,-59.3,1.37,0.11,-0.11,187.0,,,0.29,0.08,-0.07,10.2,1.0,q1_q17_dr25_tce,5031.0,135.0,-150.0,4.644,0.06,-0.035,0.615,0.048,-0.048,19h13m45.39s,+45d41m14.0s,15.18,
9227215,K07931.01,,CANDIDATE,CANDIDATE,0.487,0,0,0,0,242.0367,0.01622,-0.01622,181.746,0.0546,-0.0546,0.568,0.012,-0.489,11.01,1.4,-1.4,333.3,45.5,-45.5,2.11,0.64,-0.35,323.0,,,2.57,2.4,-1.01,8.9,1.0,q1_q17_dr25_tce,6086.0,193.0,-214.0,4.36,0.108,-0.201,1.116,0.34,-0.183,19h40m55.05s,+45d37m29.6s,15.055,
9278575,K07932.01,,CANDIDATE,CANDIDATE,0.23,0,0,0,0,502.25648,0.04197,-0.04197,162.5842,0.076,-0.076,0.05,0.403,-0.05,14.84,1.7,-1.7,153.2,24.3,-24.3,1.03,0.22,-0.15,215.0,,,0.51,0.33,-0.18,8.1,1.0,q1_q17_dr25_tce,5637.0,169.0,-152.0,4.46,0.135,-0.165,0.833,0.18,-0.12,19h23m34.55s,+45d42m59.9s,13.339,
11294822,K08047.01,,CANDIDATE,CANDIDATE,0.513,0,0,0,0,302.34971,0.01009,-0.01009,418.9534,0.02,-0.02,0.468,0.497,-0.253,4.978,0.641,-0.641,622.3,94.8,-94.8,1.98,0.11,-0.13,208.0,,,0.44,0.12,-0.09,8.0,1.0,q1_q17_dr25_tce,4829.0,144.0,-129.0,4.564,0.032,-0.048,0.794,0.046,-0.051,19h22m47.09s,+49d03m57.9s,15.222,
5956171,K08259.01,,CANDIDATE,CANDIDATE,0.311,0,0,0,0,402.27493,0.02267,-0.02267,369.6734,0.0361,-0.0361,0.668,0.061,-0.479,15.67,1.6,-1.6,294.5,34.2,-34.2,1.73,0.52,-0.18,262.0,,,1.11,1.0,-0.34,11.1,1.0,q1_q17_dr25_tce,6299.0,170.0,-226.0,4.486,0.054,-0.216,0.95,0.29,-0.097,19h21m48.46s,+41d13m31.8s,14.619,
9521317,K07940.01,,CANDIDATE,CANDIDATE,0.896,0,0,0,0,188.881049,0.001156,-0.001156,280.06822,0.00328,-0.00328,0.504,0.452,-0.299,1.49,0.124,-0.124,325.8,30.6,-30.6,1.86,0.41,-0.19,330.0,,,2.79,1.83,-0.82,12.9,1.0,q1_q17_dr25_tce,6077.0,163.0,-199.0,4.471,0.052,-0.157,0.999,0.22,-0.102,19h18m42.02s,+46d07m54.8s,12.85,
11296205,K08048.01,,CANDIDATE,CANDIDATE,0.334,0,0,0,0,379.67276,0.02319,-0.02319,445.9701,0.0232,-0.0232,0.302,0.153,-0.302,9.662,0.866,-0.866,253.9,38.6,-38.6,1.33,0.36,-0.11,247.0,,,0.88,0.7,-0.23,7.9,1.0,q1_q17_dr25_tce,6156.0,167.0,-186.0,4.563,0.035,-0.196,0.824,0.22,-0.073,19h25m49.12s,+49d02m35.8s,14.44,
6356506,K08263.01,,CANDIDATE,CANDIDATE,0.291,0,0,0,0,280.55544,0.02526,-0.02526,308.0323,0.0404,-0.0404,0.031,0.419,-0.031,12.757,0.723,-0.723,401.4,48.4,-48.4,2.17,0.72,-0.24,308.0,,,2.13,2.11,-0.69,9.3,1.0,q1_q17_dr25_tce,6292.0,174.0,-240.0,4.426,0.054,-0.216,1.078,0.361,-0.12,19h17m18.22s,+41d44m59.8s,15.16,
8608544,K08159.02,,CANDIDATE,CANDIDATE,0.573,0,0,0,0,353.01861,0.01111,-0.01111,350.0863,0.0219,-0.0219,0.064,0.359,-0.064,15.583,0.481,-0.481,375.1,27.7,-27.7,2.25,0.76,-0.25,301.0,,,1.93,1.84,-0.58,14.9,2.0,q1_q17_dr25_tce,6450.0,144.0,-192.0,4.386,0.067,-0.216,1.155,0.389,-0.13,18h56m46.12s,+44d45m43.6s,13.971,
7832787,K08270.01,,CANDIDATE,CANDIDATE,0.578,0,0,0,0,338.00692,0.0124,-0.0124,262.4,0.0248,-0.0248,0.184,0.246,-0.184,16.745,0.675,-0.675,544.3,41.1,-41.1,2.09,0.6,-0.21,249.0,,,0.91,0.77,-0.25,15.3,1.0,q1_q17_dr25_tce,5741.0,153.0,-170.0,4.502,0.062,-0.188,0.898,0.26,-0.087,19h40m53.52s,+43d35m25.6s,15.023,
8022520,K08272.01,,CANDIDATE,CANDIDATE,0.12,0,0,0,0,432.42787,0.03739,-0.03739,361.4078,0.0394,-0.0394,0.716,0.277,-0.491,19.63,3.4,-3.4,110.3,70.4,-70.4,1.14,0.37,-0.13,259.0,,,1.07,1.04,-0.32,6.0,1.0,q1_q17_dr25_tce,6263.0,169.0,-188.0,4.46,0.054,-0.216,1.009,0.335,-0.112,19h18m39.78s,+43d52m46.1s,13.814,
9650579,K07953.01,,CANDIDATE,CANDIDATE,0.335,0,0,0,0,432.96905,0.04634,-0.04634,186.7367,0.0631,-0.0631,0.4,0.069,-0.4,20.76,3.5,-3.5,257.9,51.0,-51.0,1.43,0.33,-0.12,219.0,,,0.55,0.37,-0.14,8.1,1.0,q1_q17_dr25_tce,5580.0,150.0,-166.0,4.538,0.031,-0.178,0.886,0.207,-0.074,19h29m38.91s,+46d21m50.0s,14.942,
