kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra_str,dec_str,koi_kepmag,koi_joined
10452252,000000000000000000000000000000009f911064ca84c641a402ccc94037c923,,CANDIDATE,CANDIDATE,0.989,34.57371851,,,136.2275493,,,0.22,,,2.1742,,,399.0,,,0.42,0.17,-0.12,199.0,0.37,0.47,-0.19,5.7,7.0,q1_q17_dr25_tce,3374.0,112.0,-82.0,5.066,0.103,-0.126,0.218,0.09,-0.06,18h52m36.14s,+47d40m19.1s,15.708,"CANDIDATE,CANDIDATE"
12554485,000000000000000000000000000000004d61a78e7eeb8497f2a26aa11e267d87,,CANDIDATE,CANDIDATE,0.444,495.662346,0.006736,-0.006736,561.4127,0.00823,-0.00823,0.949,0.018,-0.679,4.428,0.35,-0.35,675.7,77.6,-77.6,2.73,0.56,-0.33,207.0,0.43,0.29,-0.14,10.2,1.0,q1_q17_dr25_tce,5515.0,193.0,-193.0,4.509,0.077,-0.132,0.82,0.17,-0.099,19h16m21.80s,+51d31m55.2s,14.322,"CANDIDATE,CANDIDATE"
3629119,00000000000000000000000000000000e8519c3c127f008d7eb7a3f07ec0e3a3,,CANDIDATE,CANDIDATE,0.175,331.55459,0.01384,-0.01384,237.2754,0.0361,-0.0361,0.001,0.453,-0.001,5.35,1.3,-1.3,288.7,48.2,-48.2,1.36,0.32,-0.11,240.0,0.78,0.56,-0.19,6.7,1.0,q1_q17_dr25_tce,5762.0,155.0,-155.0,4.576,0.04,-0.16,0.801,0.193,-0.064,19h04m10.55s,+38d42m31.7s,14.066,"CANDIDATE,CANDIDATE"
4446859,000000000000000000000000000000007f33118546169e1cc28988d45d468f61,,CANDIDATE,CANDIDATE,0.228,425.64971,0.02019,-0.02019,284.3479,0.0357,-0.0357,0.303,0.15,-0.303,11.07,1.3,-1.3,171.2,27.8,-27.8,1.58,0.45,-0.37,281.0,1.48,1.27,-0.71,7.6,1.0,q1_q17_dr25_tce,6067.0,182.0,-182.0,4.253,0.22,-0.18,1.195,0.342,-0.279,19h02m25.97s,+39d34m45.5s,13.855,"CANDIDATE,CANDIDATE"
9084569,000000000000000000000000000000007aea9e6b3a14d919ac65bb6e5e193e8c,,CANDIDATE,CANDIDATE,0.75,395.13138,0.02017,-0.02017,162.7395,0.0331,-0.0331,0.45,0.045,-0.429,21.291,0.916,-0.916,126.4,9.8,-9.8,0.97,0.12,-0.1,208.0,0.44,0.2,-0.13,14.4,2.0,q1_q17_dr25_tce,5060.0,192.0,-174.0,4.493,0.08,-0.088,0.869,0.1,-0.091,19h20m47.98s,+45d25m12.0s,12.642,"CANDIDATE,CANDIDATE"
10844823,000000000000000000000000000000008dda708e38c1e53d451ddd719d924f38,,CANDIDATE,CANDIDATE,0.323,362.13187,0.01297,-0.01297,369.541,0.0235,-0.0235,0.397,0.069,-0.397,5.59,1.2,-1.2,849.0,134.0,-134.0,2.23,0.28,-0.21,208.0,0.45,0.19,-0.12,8.2,1.0,q1_q17_dr25_tce,5176.0,153.0,-153.0,4.567,0.048,-0.072,0.766,0.097,-0.071,18h53m11.29s,+48d15m59.9s,15.313,"CANDIDATE,CANDIDATE"
5098334,0000000000000000000000000000000022f4e3ce63eaad885bfd7192d98282aa,,CANDIDATE,CANDIDATE,0.067,400.11482,0.04988,-0.04988,316.2642,0.0343,-0.0343,0.066,0.531,-0.066,12.37,3.4,-3.4,113.4,75.0,-75.0,0.95,0.13,-0.04,226.0,0.62,0.22,-0.08,6.7,1.0,q1_q17_dr25_tce,5547.0,74.0,-83.0,4.521,0.019,-0.11,0.911,0.12,-0.038,19h26m07.08s,+40d15m10.5s,13.521,"CANDIDATE,CANDIDATE"
9210820,00000000000000000000000000000000e83520e7ec5a0fe5421a8ee085e9d0c3,,CANDIDATE,CANDIDATE,0.469,377.67241,0.01947,-0.01947,221.098,0.0374,-0.0374,0.107,0.341,-0.107,15.82,1.4,-1.4,514.8,59.3,-59.3,1.37,0.11,-0.11,187.0,0.29,0.08,-0.07,10.2,1.0,q1_q17_dr25_tce,5031.0,135.0,-150.0,4.644,0.06,-0.035,0.615,0.048,-0.048,19h13m45.39s,+45d41m14.0s,15.18,"CANDIDATE,CANDIDATE"
9227215,000000000000000000000000000000000abcbd2f0857eadbf2045b02a324d59f,,CANDIDATE,CANDIDATE,0.487,242.0367,0.01622,-0.01622,181.746,0.0546,-0.0546,0.568,0.012,-0.489,11.01,1.4,-1.4,333.3,45.5,-45.5,2.11,0.64,-0.35,323.0,2.57,2.4,-1.01,8.9,1.0,q1_q17_dr25_tce,6086.0,193.0,-214.0,4.36,0.108,-0.201,1.116,0.34,-0.183,19h40m55.05s,+45d37m29.6s,15.055,"CANDIDATE,CANDIDATE"
9278575,000000000000000000000000000000007ba2c2a0b8c64bacb3479d22e3454afb,,CANDIDATE,CANDIDATE,0.23,502.25648,0.04197,-0.04197,162.5842,0.076,-0.076,0.05,0.403,-0.05,14.84,1.7,-1.7,153.2,24.3,-24.3,1.03,0.22,-0.15,215.0,0.51,0.33,-0.18,8.1,1.0,q1_q17_dr25_tce,5637.0,169.0,-152.0,4.46,0.135,-0.165,0.833,0.18,-0.12,19h23m34.55s,+45d42m59.9s,13.339,"CANDIDATE,CANDIDATE"
